"","sub","age.cat","version","name","value","flag.lottery","risk.lott","Gender","Age","mean_mars","pre_err","post_delta_ref","mars_age.cat","mars.mc","risk.lott.mc","pre_err.mc","post_delta_ref.mc","mars.gmc"
"1","7312338","Adolescents","ver1","Risk",-0.333333333333333,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"2","7312338","Adolescents","ver1","RT",-129.066666666669,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"3","7312338","Adolescents","ver1","RT2",-132,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"4","7312338","Adolescents","ver1","Switch",0.428571428571429,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"5","7312338","Adolescents","ver1","Payoff",0.342553191489362,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"6","7312339","Adolescents","ver1","Risk",0.0666666666666667,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"7","7312339","Adolescents","ver1","RT",758.466666666666,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"8","7312339","Adolescents","ver1","RT2",767,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"9","7312339","Adolescents","ver1","Switch",0.142857142857143,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"10","7312339","Adolescents","ver1","Payoff",1.05177304964539,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"11","7312340","Adolescents","ver1","Risk",0.266666666666667,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"12","7312340","Adolescents","ver1","RT",-1244.53333333333,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"13","7312340","Adolescents","ver1","RT2",-933,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"14","7312340","Adolescents","ver1","Switch",-0.142857142857143,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"15","7312340","Adolescents","ver1","Payoff",0.600354609929077,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"16","7312341","Adolescents","ver1","Risk",-0.133333333333333,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"17","7312341","Adolescents","ver1","RT",-634.518933396912,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"18","7312341","Adolescents","ver1","RT2",-277.204999999994,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"19","7312341","Adolescents","ver1","Switch",-0.142857142857143,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"20","7312341","Adolescents","ver1","Payoff",1.29290780141844,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"21","7312343","Adolescents","ver1","Risk",0.133333333333333,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"22","7312343","Adolescents","ver1","RT",-542.266666666666,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"23","7312343","Adolescents","ver1","RT2",-446,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"24","7312343","Adolescents","ver1","Switch",-0.142857142857143,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"25","7312343","Adolescents","ver1","Payoff",-1.32659574468085,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"26","7312344","Adolescents","ver1","Risk",0.133333333333333,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"27","7312344","Adolescents","ver1","RT",-660.191800002387,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"28","7312344","Adolescents","ver1","RT2",-416.207000011927,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"29","7312344","Adolescents","ver1","Switch",0.142857142857143,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"30","7312344","Adolescents","ver1","Payoff",0.885106382978725,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"31","7312345","Adolescents","ver1","Risk",0.666666666666667,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
